rank,candidate_id,title,yoe,score,evidence,title_fit,exp,skills,edu,penalty,reasons
1,CAND_0081846,Lead AI Engineer,6.7,0.9879,1.00,1.00,1.00,1.00,1.00,0.00,
2,CAND_0018499,Senior Machine Learning Engineer,7.2,0.9771,0.99,1.00,1.00,1.00,1.00,0.00,
3,CAND_0077337,Staff Machine Learning Engineer,7.0,0.9770,0.99,1.00,1.00,1.00,1.00,0.00,
4,CAND_0086022,Senior Applied Scientist,5.3,0.9748,0.99,1.00,1.00,0.92,1.00,0.00,
5,CAND_0046525,Senior Machine Learning Engineer,6.1,0.9724,0.99,1.00,1.00,1.00,1.00,0.00,
6,CAND_0005260,Senior NLP Engineer,5.2,0.9553,0.98,0.95,1.00,1.00,1.00,0.00,
7,CAND_0071974,Senior AI Engineer,7.8,0.9525,0.99,1.00,1.00,0.96,1.00,0.00,
8,CAND_0002025,Senior AI Engineer,5.9,0.9495,0.97,1.00,1.00,1.00,1.00,0.00,
9,CAND_0011687,Senior NLP Engineer,7.8,0.9471,0.99,1.00,1.00,0.83,1.00,0.00,
10,CAND_0080766,Staff Machine Learning Engineer,8.8,0.9467,0.99,1.00,1.00,0.77,1.00,0.00,
11,CAND_0030031,AI Engineer,5.7,0.9448,0.97,1.00,1.00,1.00,1.00,0.00,
12,CAND_0008425,Senior NLP Engineer,7.8,0.9426,0.99,1.00,1.00,1.00,1.00,0.00,
13,CAND_0046064,Senior NLP Engineer,8.9,0.9380,1.00,1.00,1.00,0.67,1.00,0.00,
14,CAND_0062247,AI Engineer,7.3,0.9373,0.99,1.00,1.00,0.96,1.00,0.00,
15,CAND_0053695,Recommendation Systems Engineer,5.8,0.9331,1.00,1.00,1.00,0.80,1.00,0.00,
16,CAND_0060054,AI Engineer,6.4,0.9331,1.00,1.00,1.00,0.83,0.80,0.00,
17,CAND_0042029,Senior Data Scientist,6.5,0.9285,0.96,1.00,1.00,1.00,0.80,0.00,
18,CAND_0027691,NLP Engineer,6.5,0.9278,0.96,1.00,1.00,0.96,0.80,0.00,
19,CAND_0044855,Senior Data Scientist,6.6,0.9277,0.99,1.00,1.00,1.00,0.80,0.00,
20,CAND_0088025,Staff Machine Learning Engineer,8.6,0.9176,0.98,1.00,1.00,1.00,0.80,0.00,
21,CAND_0068351,Lead AI Engineer,6.4,0.9173,0.93,1.00,1.00,0.96,1.00,0.00,
22,CAND_0066376,Applied ML Engineer,5.7,0.9172,0.98,1.00,1.00,1.00,1.00,0.00,
23,CAND_0026532,Recommendation Systems Engineer,4.8,0.9171,0.99,1.00,0.86,1.00,1.00,0.00,
24,CAND_0036184,Recommendation Systems Engineer,6.0,0.9158,0.95,1.00,1.00,1.00,0.80,0.00,
25,CAND_0047721,Senior Data Scientist,7.0,0.9137,0.96,0.95,1.00,1.00,1.00,0.00,
26,CAND_0070398,Machine Learning Engineer,7.2,0.9137,0.99,1.00,1.00,1.00,1.00,0.00,
27,CAND_0028793,Search Engineer,7.2,0.9133,0.99,1.00,1.00,0.96,1.00,0.00,
28,CAND_0051292,Applied ML Engineer,5.2,0.9130,0.99,1.00,1.00,0.83,0.80,0.00,
29,CAND_0079387,AI Engineer,6.9,0.9125,0.98,1.00,1.00,0.67,1.00,0.00,
30,CAND_0030953,Search Engineer,7.8,0.9114,1.00,1.00,1.00,0.67,1.00,0.00,
31,CAND_0006567,Senior AI Engineer,7.9,0.9111,0.95,1.00,1.00,0.83,1.00,0.00,
32,CAND_0093912,Senior Data Scientist,5.3,0.9111,0.97,1.00,1.00,0.83,0.80,0.00,
33,CAND_0096172,NLP Engineer,5.2,0.9098,0.99,1.00,1.00,0.64,1.00,0.00,
34,CAND_0005649,Senior Data Scientist,7.4,0.9084,0.99,1.00,1.00,0.96,0.80,0.00,
35,CAND_0003977,Recommendation Systems Engineer,4.6,0.9065,0.95,1.00,0.83,0.96,1.00,0.00,
36,CAND_0041610,Recommendation Systems Engineer,6.7,0.9045,0.90,1.00,1.00,1.00,0.80,0.00,
37,CAND_0033861,Senior NLP Engineer,8.0,0.9029,0.99,1.00,1.00,0.83,1.00,0.00,
38,CAND_0020877,Applied ML Engineer,5.1,0.9012,0.97,1.00,1.00,0.67,1.00,0.00,
39,CAND_0070202,Machine Learning Engineer,5.1,0.9011,0.96,1.00,1.00,1.00,1.00,0.00,
40,CAND_0029367,Senior Data Scientist,5.7,0.8998,0.97,1.00,1.00,1.00,0.80,0.00,
41,CAND_0077285,Recommendation Systems Engineer,5.5,0.8998,0.96,1.00,1.00,1.00,0.80,0.00,
42,CAND_0039383,Applied ML Engineer,7.1,0.8997,0.99,1.00,1.00,0.80,1.00,0.00,
43,CAND_0075574,Machine Learning Engineer,5.7,0.8990,0.98,1.00,1.00,0.67,1.00,0.00,
44,CAND_0011162,Recommendation Systems Engineer,5.8,0.8986,0.97,1.00,1.00,0.77,1.00,0.00,
45,CAND_0041669,Recommendation Systems Engineer,8.0,0.8951,0.97,1.00,1.00,0.67,1.00,0.00,
46,CAND_0099401,NLP Engineer,7.7,0.8937,0.94,1.00,1.00,0.83,1.00,0.00,
47,CAND_0052682,NLP Engineer,6.6,0.8936,0.94,0.95,1.00,0.80,1.00,0.00,
48,CAND_0015528,Applied ML Engineer,7.4,0.8932,0.91,1.00,1.00,0.77,1.00,0.00,
49,CAND_0010685,NLP Engineer,6.7,0.8923,0.99,1.00,1.00,0.83,0.60,0.00,
50,CAND_0099806,AI Engineer,4.6,0.8921,0.94,1.00,0.83,0.80,1.00,0.00,
